Tempo,Vazao
0,77881.6
1,77881.6
2,54678
3,43988.3
4,36561.6
5,36561.6
6,31415.8
7,31415.8
8,31415.8
9,27573.5
10,24560.6
11,24560.6
12,22147.8
13,22147.8
14,20159.5
15,18501.8
16,18501.8
17,18501.8
18,17094.7
19,17094.7
20,15704.6
21,14669.4
22,14669.4
23,13772.4
24,12980.3
25,12980.3
26,12980.3
27,12272.3
28,12272.3
29,11637.5
30,10797.6
31,10797.6
32,10298.9
33,9848.55
34,9848.55
35,9848.55
36,9435.94
37,9435.94
38,9056.15
39,8705.41
40,8705.41
41,8381.14
42,8381.14
43,8381.14
44,8080.45
45,8080.45
46,7800.31
47,7800.31
48,7538.19
49,7538.19
50,7190.34
51,6965.94
52,6965.94
53,6965.94
54,6757.57
55,6757.57
56,6560.34
57,6374.12
58,6374.12
59,6374.12
60,5967.85
61,5967.85
62,5814.1
63,5814.1
64,5667.65
65,5667.65
66,5527.98
67,5527.98
68,5395.94
69,5269.44
70,5269.44
71,5269.44
72,5148.86
73,5148.86
74,5019.41
75,5019.41
76,4879
77,4879
78,4675.23
79,4675.23
80,4579.87
81,4488.87
82,4488.87
83,4400.98
84,4400.98
85,4316.63
86,4316.63
87,4235.45
88,4235.45
89,4147.69
90,4147.69
91,4072.69
92,4072.69
93,4000.14
94,4000.14
95,3930.2
96,3862.79
97,3862.79
98,3862.79
99,3797.72
100,3797.72
101,3734.69
102,3734.69
103,3651.89
104,3651.89
105,3593.27
106,3593.27
107,3593.27
108,3481.95
109,3481.95
110,3428.83
111,3377.41
112,3377.41
113,3377.41
114,3327.52
115,3327.52
116,3279.07
117,3231.92
118,3231.92
119,3231.92
120,3186.2
121,3141.71
122,3141.71
123,3098.45
124,3098.45
125,3056.36
126,3056.36
127,3009.59
128,3009.59
129,2955.01
130,2955.01
131,2955.01
132,2916.47
133,2916.47
134,2879.19
135,2879.19
136,2842.81
137,2842.81
138,2807.24
139,2807.24
140,2764.03
141,2730.15
142,2697.49
143,2697.49
144,2665.59
145,2665.59
146,2634.32
147,2634.32
148,2603.87
149,2603.87
150,2574.05
151,2574.05
152,2544.99
153,2516.53
154,2516.53
155,2516.53
156,2488.66
157,2488.66
158,2461.38
159,2461.38
160,2434.8
161,2434.8
162,2408.76
163,2408.76
164,2408.76
165,2383.22
166,2383.22
167,2358.24
168,2358.24
169,2321.67
170,2321.67
171,2297.79
172,2274.5
173,2274.5
174,2251.78
175,2251.78
176,2229.44
177,2207.61
178,2207.61
179,2207.61
180,2186.19
181,2186.19
182,2165.15
183,2144.49
184,2144.49
185,2144.49
186,2124.26
187,2124.26
188,2104.4
189,2084.9
190,2084.9
191,2065.76
192,2065.76
193,2046.98
194,2046.98
195,2028.51
196,2028.51
197,2028.51
198,2010.36
199,1992.58
200,1992.58
201,1975.07
202,1975.07
203,1957.9
204,1957.9
205,1932.97
206,1932.97
207,1916.38
208,1916.38
209,1900.21
210,1884.33
211,1884.33
212,1884.33
213,1868.66
214,1868.66
215,1844.11
216,1823.19
217,1823.19
218,1823.19
219,1808.57
220,1808.57
221,1794.14
222,1779.96
223,1779.96
224,1779.96
225,2103.5
226,2087.11
227,2087.11
228,2070.83
229,2055.09
230,2055.09
231,2038.01
232,2038.01
233,2015.67
234,2015.67
235,2000.54
236,2000.54
237,1985.73
238,1985.73
239,1966.05
240,1958.79
241,1944.51
242,1944.51
243,1930.49
244,1930.49
245,1930.49
246,1916.7
247,1903.07
248,1903.07
249,1889.65
250,1889.65
251,1876.42
252,1876.42
253,1863.38
254,1863.38
255,1850.51
256,1850.51
257,1837.82
258,1825.26
259,1825.26
260,1812.94
261,1800.76
262,1800.76
263,1788.75
264,1776.88
265,1776.88
266,1776.88
267,1765.18
268,1956.49
269,1956.49
270,1943.77
271,1931.23
272,1931.23
273,1931.23
274,1918.82
275,1918.82
276,1906.58
277,1894.5
278,1894.5
