Tempo,Vazao
0,0.206089
1,0.411987
2,0.617854
3,0.823806
4,1.02955
5,1.23545
6,1.44136
7,1.64693
8,1.8528
9,2.05824
10,2.26407
11,1.1757
12,1.27368
13,1.37166
14,1.46963
15,1.56761
16,1.66558
17,1.76304
18,1.86099
19,1.95893
20,2.05688
21,2.15483
22,2.25277
23,2.3498
24,2.44771
25,2.54561
26,2.64352
27,2.74143
28,2.83934
29,2.93725
30,3.03516
31,3.13306
32,3.23097
33,3.32888
34,3.42679
35,3.5247
36,3.6226
37,3.72051
38,3.81842
39,3.91633
40,4.0108
41,4.10862
42,4.20645
43,4.30427
44,4.40209
45,4.49992
46,4.59774
47,4.69557
48,4.79151
49,4.88882
50,4.98659
51,5.08387
52,5.18164
53,5.27941
54,5.37665
55,5.4744
56,5.57216
57,5.66881
58,5.76598
59,5.86371
60,5.96144
61,6.05917
62,6.1569
63,6.25463
64,6.35235
65,6.45008
66,6.54781
67,6.64554
68,6.74327
69,6.83699
70,6.93466
71,7.03233
72,7.13
73,7.22626
74,7.32392
75,7.42157
76,7.51922
77,7.61687
78,7.71453
79,7.81218
80,7.90983
81,8.00748
82,8.10513
83,8.20279
84,8.30044
85,8.39809
86,8.49574
87,8.5934
88,8.69105
89,8.7887
90,8.87855
91,8.97611
92,9.0728
93,9.17035
94,9.26791
95,9.36547
96,9.46302
97,9.56058
98,9.65814
99,9.75569
100,9.85325
101,9.94693
102,10.0444
103,10.142
104,10.2395
105,10.337
106,10.4345
107,10.532
108,10.6296
109,10.7271
110,10.8246
111,10.9168
112,11.0143
113,11.1117
114,11.2092
115,11.3067
116,11.4042
117,11.5016
118,11.5957
119,3.50686
120,3.53608
121,3.56531
122,3.59453
123,3.62375
124,3.65298
125,3.6822
126,3.71142
127,3.74065
128,3.76987
129,3.7991
130,3.82832
131,3.85754
132,3.88677
133,3.91599
134,3.94521
135,3.97444
136,4.00366
137,4.03289
138,4.06211
139,4.09133
140,4.12056
141,4.14978
142,4.17901
143,4.20823
144,4.23745
145,4.26668
146,4.2959
147,4.32512
148,4.35435
149,4.38357
150,4.4128
151,4.44202
152,4.47124
153,4.50047
154,4.52969
155,4.55891
156,4.58814
157,4.61736
158,4.64659
159,4.67581
160,4.70503
161,4.73426
162,4.76348
163,4.79271
164,4.82193
165,4.85115
166,4.88038
167,4.9096
168,4.93882
169,4.96805
170,4.99727
171,5.0265
172,5.05572
173,5.08494
174,5.11417
175,5.14339
176,5.17261
177,5.20184
178,5.23106
179,5.26029
180,5.28951
181,5.31873
182,5.34796
183,5.37718
184,5.40641
185,5.43563
186,5.46485
187,5.49408
188,5.5233
189,5.55252
190,5.58175
191,5.61097
192,5.6402
193,5.66942
194,5.69864
195,5.72787
196,5.75709
197,5.78632
198,5.81554
199,5.84476
200,5.87399
201,5.90321
202,5.93243
203,5.96166
204,5.99088
205,6.02011
206,6.04933
207,6.07855
208,6.10038
209,6.12957
210,6.15875
211,6.18794
212,6.21713
213,6.24632
214,6.27551
215,6.3047
216,6.33388
217,6.36214
218,6.39133
219,6.42051
220,6.4497
221,6.47888
222,6.50806
223,6.53725
224,6.56643
225,2.85751
226,2.87015
227,2.8828
228,2.89544
229,2.90808
230,2.92073
231,2.93337
232,2.94602
