Tempo,Vazao
0,1004.02
1,2008.03
2,1503.76
3,2005.01
4,2506.27
5,2003.34
6,2337.23
7,2671.12
8,2252.82
9,2503.13
10,2753.44
11,3003.75
12,2602.6
13,2802.8
14,2500.83
15,2667.56
16,2429.96
17,2572.9
18,2715.84
19,2500.94
20,2625.98
21,2751.03
22,2556.41
23,2667.56
24,2778.7
25,2601.3
26,2701.35
27,2801.4
28,2637.08
29,2728.02
30,2583.98
31,2667.33
32,2750.69
33,2615.79
34,2692.72
35,2571.43
36,2642.86
37,2533.16
38,2599.83
39,2500.47
40,2562.98
41,2625.49
42,2530.16
43,2589
44,2647.84
45,2555.98
46,2611.55
47,2667.11
48,2722.68
49,2611.51
50,2663.74
51,2581.67
52,2631.32
53,2680.97
54,2566.85
55,2613.52
56,2660.2
57,2585.25
58,2571.93
59,2615.52
60,2659.11
61,2589.05
62,2630.81
63,2672.57
64,2605.52
65,2645.61
66,2685.69
67,2620.52
68,2659.06
69,2697.6
70,2634.9
71,2672.01
72,2709.12
73,2647.96
74,2683.75
75,2624.85
76,2659.39
77,2693.93
78,2637.99
79,2671.39
80,2617.29
81,2565.39
82,2596.67
83,2627.96
84,2579.9
85,2610.25
86,2562.44
87,2591.89
88,2621.35
89,2575.33
90,2603.94
91,2632.56
92,2586.93
93,2614.74
94,2571.11
95,2598.18
96,2625.24
97,2652.3
98,2598.29
99,2624.53
100,2518.2
101,2481.21
102,2505.53
103,2529.86
104,2493.53
105,2517.28
106,2482.08
107,2505.28
108,2528.47
109,2551.67
110,2516.55
111,2539.22
112,2561.89
113,2527.21
114,2549.38
115,2515.72
116,2537.41
117,2504.78
118,2526
119,2493.87
120,2463.86
121,2484.22
122,2504.58
123,2474.65
124,2494.61
125,2465.27
126,2484.84
127,2504.4
128,2475.39
129,2494.58
130,2466.63
131,2485.45
132,2458
133,2476.48
134,2494.96
135,2467.93
136,2486.07
137,2459.5
138,2477.32
139,2451.45
140,2468.96
141,2443.73
142,2460.93
143,2436.18
144,2453.1
145,2470.01
146,2445.64
147,2462.28
148,2438.23
149,2454.59
150,2431.25
151,2408.53
152,2424.38
153,2402.12
154,2380.29
155,2395.65
156,2374.76
157,2389.88
158,2358.18
159,2373.01
160,2352.91
161,2367.52
162,2347.86
163,2362.26
164,2376.67
165,2357.08
166,2371.28
167,2352.08
168,2366.09
169,2347.22
170,2361.03
171,2374.84
172,2356.15
173,2369.77
174,2351.36
175,2364.8
176,2346.7
177,2359.96
178,2342.13
179,2355.22
180,2368.3
181,2350.66
182,2363.58
183,2346.16
184,2358.91
185,2341.77
186,2325
187,2308.73
188,2321.01
189,2305.07
190,2317.2
191,2301.41
192,2313.4
193,2297.87
194,2309.72
195,2294.3
196,1608.39
197,1616.55
198,1611.45
199,1606.54
200,1614.57
201,1609.68
202,1604.87
203,1612.78
204,1607.98
205,1615.83
206,1607.77
207,1602.98
208,1610.69
209,1593.84
210,1589.15
211,1584.94
212,1592.42
